Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2015-07-08,133.89682006835938,44.6859016418457,55.56194686889648,64.38999938964844,89.67085266113281,24.1308708190918,79.98999786376953,2.009999990463257,158.7777557373047,10.662837982177734
2015-07-09,134.80874633789062,44.6314697265625,55.8165283203125,65.72000122070311,89.79025268554688,24.451967239379886,80.47000122070312,1.9800000190734863,160.84201049804688,10.745429039001463
2015-07-10,135.86085510253906,45.30288696289063,56.85124206542969,68.04000091552734,90.73638153076172,24.675762176513672,80.58999633789062,1.9600000381469729,162.86656188964844,10.81976318359375
2015-07-13,137.19363403320312,45.33024215698242,57.55442810058594,67.91000366210939,92.36225128173828,25.19146156311035,81.44000244140625,1.9600000381469729,168.02713012695312,10.77846908569336
2015-07-14,137.46543884277344,45.76786422729492,57.74470520019531,69.01999664306639,92.53678131103516,25.35687255859375,81.88999938964844,2.049999952316284,165.9430389404297,10.836284637451172
2015-07-15,136.78152465820312,44.956443786621094,57.70335006713867,67.55000305175781,91.81109619140624,25.0747013092041,82.12000274658203,1.9600000381469729,167.19351196289062,10.885838508605957
2015-07-16,137.80735778808594,45.37582397460938,57.90188980102539,68.83999633789061,93.18894958496094,25.152544021606445,82.5199966430664,1.870000004768372,168.07676696777344,11.026247024536133
2015-07-17,137.38653564453122,45.49435043334961,57.90188980102539,72.33000183105469,92.2979507446289,25.11361885070801,82.0999984741211,1.7899999618530271,168.41416931152344,10.910616874694824
2015-07-20,137.76353454589844,45.64023208618164,58.57199478149414,72.12000274658203,92.51840209960938,25.541749954223636,82.08999633789062,1.7999999523162842,167.4118194580078,10.80324649810791
2015-07-21,136.57107543945312,45.36671829223633,58.35689926147461,75.58000183105469,92.2152862548828,25.386064529418945,81.19000244140625,1.7999999523162842,166.26060485839844,10.687615394592283
2015-07-22,136.26422119140622,46.47899627685547,58.37342834472656,75.18000030517578,93.997314453125,25.249845504760746,80.7300033569336,1.7899999618530271,166.9453887939453,10.87757968902588
2015-07-23,131.08232116699222,46.6795768737793,58.34034729003906,73.19000244140625,94.0799789428711,25.24011421203613,80.63999938964844,1.7599999904632568,167.1140899658203,10.687615394592283
2015-07-24,130.93325805664062,46.54281997680664,56.3217658996582,73.0999984741211,92.93177032470705,25.47364044189453,80.9800033569336,1.6699999570846558,167.0347137451172,10.56372356414795
2015-07-27,130.3896484375,46.21459579467773,57.36414337158203,72.72000122070312,92.2152862548828,24.91901779174805,79.93000030517578,1.6200000047683716,167.06448364257812,10.679356575012207
2015-07-28,132.49392700195312,46.44253158569336,58.9277229309082,74.12000274658203,93.40943145751952,25.016319274902344,80.58999633789062,1.7699999809265137,169.0096435546875,10.54720687866211
2015-07-29,132.7921142578125,46.55194091796875,58.54716873168945,75.62000274658203,94.10753631591795,25.279033660888672,80.25,1.9600000381469729,171.7487335205078,10.596763610839844
2015-07-30,132.89729309082028,46.28753662109375,58.04253005981445,77.26000213623047,94.30043029785156,25.35687255859375,81.29000091552734,1.9299999475479128,171.23265075683594,10.563467025756836
2015-07-31,132.69560241699222,46.21459579467773,57.918434143066406,77.45999908447266,94.71379089355469,25.09416007995605,81.98999786376953,1.9299999475479128,172.89002990722656,10.65503215789795
2015-08-03,131.62593078613278,46.04137420654297,57.686790466308594,77.4000015258789,94.8056411743164,24.83144569396973,81.4000015258789,2.200000047683716,172.4930419921875,10.596762657165527
2015-08-04,131.87144470214844,46.050498962402344,57.86878967285156,88.80000305175781,94.99854278564452,24.977399826049805,82.05999755859375,2.1300001144409184,173.77325439453125,10.455248832702637
2015-08-05,132.40628051757812,46.02314376831055,58.15835571289063,92.88999938964844,95.99060821533205,27.93537521362305,83.37999725341797,2.1600000858306885,173.94200134277344,10.480223655700684
2015-08-06,130.87184143066406,45.87726211547852,57.28142166137695,94.31999969482422,94.7046127319336,27.93537521362305,82.19000244140625,2.1099998950958248,171.43113708496094,10.488547325134276
2015-08-07,130.54745483398438,45.68581008911133,56.76850891113281,95.68000030517578,95.2925033569336,28.00348854064941,82.69000244140625,2.0899999141693115,172.43348693847656,10.521843910217283
2015-08-10,132.60794067382812,46.187255859375,57.25660705566406,95.56999969482422,96.63359832763672,28.032678604125977,83.62000274658203,1.9299999475479128,172.3441925048828,10.55514144897461
2015-08-11,130.18794250488278,45.94108963012695,56.46240615844727,100.9499969482422,95.14552307128906,27.692121505737305,83.9000015258789,1.8999999761581419,170.61734008789062,10.280440330505373
2015-08-12,130.22306823730472,45.66756820678711,56.87604904174805,100.6500015258789,95.3200454711914,27.8867244720459,83.81999969482422,1.8999999761581419,170.69674682617188,10.871461868286133
2015-08-13,129.24099731445312,45.43965530395508,56.70232009887695,105.75,94.97100067138672,28.07159996032715,84.30999755859375,1.7899999618530271,186.3671112060547,10.538493156433104
2015-08-14,130.01260375976562,45.79521942138672,56.7933235168457,103.91999816894531,95.02610778808594,27.906185150146484,86.12000274658203,1.8400000333786009,185.6128692626953,10.663357734680176
2015-08-17,130.85430908203122,45.93196487426758,57.38896942138672,106.4499969482422,95.05367279052734,28.50945854187012,86.7699966430664,1.7999999523162842,183.2906188964844,10.713301658630373
2015-08-18,130.03892517089844,45.986671447753906,56.96706008911133,104.93000030517578,95.40271759033205,28.43161392211914,86.44999694824219,1.7999999523162842,184.36241149902344,10.671679496765137
2015-08-19,128.78961181640622,45.43965530395508,56.743690490722656,104.5500030517578,94.49333953857422,28.19809150695801,85.4800033569336,1.7999999523162842,186.4167633056641,10.438600540161133
2015-08-20,126.56463623046876,44.24530792236328,55.82539749145508,102.19000244140624,91.82947540283205,27.22507286071777,82.69000244140625,1.7000000476837158,183.05242919921875,10.247145652770996
2015-08-21,125.4521713256836,42.96891784667969,54.51828002929688,97.08000183105469,89.22073364257812,26.485576629638672,78.87000274658203,1.7799999713897705,176.1947784423828,9.989092826843262
2015-08-24,122.35321044921876,39.84174728393555,52.49142074584961,94.56999969482422,85.1239242553711,25.45417594909668,74.2699966430664,1.75,172.43348693847656,9.597850799560547
2015-08-25,121.52326965332031,39.11237716674805,50.22465896606445,93.87999725341795,84.63707733154297,25.47364044189453,74.56999969482422,1.6599999666213991,169.92266845703125,9.439695358276367
2015-08-26,126.00843811035156,40.09701919555664,52.2349624633789,97.29000091552734,87.30094146728516,26.55368995666504,77.33000183105469,1.7200000286102295,170.16087341308594,9.697742462158203
2015-08-27,127.05025482177734,41.61046600341797,53.36834716796875,98.1999969482422,87.93474578857422,27.176422119140625,78.91000366210938,1.7799999713897705,174.8946990966797,9.880877494812012
